boundary_index,feed_a_time,feed_b_time,gap_minutes,volume_a_oz,volume_b_oz,label,previous_gap_minutes,next_gap_minutes,feed_a_hour_of_day
60,2026-03-21T06:21,2026-03-21T09:39,197.6,3.50,3.50,new_episode,184.2,142.7,6.35
61,2026-03-21T09:39,2026-03-21T12:02,142.7,3.50,2.00,new_episode,197.6,76.1,9.65
62,2026-03-21T12:02,2026-03-21T13:18,76.1,2.00,3.00,new_episode,142.7,89.9,12.03
63,2026-03-21T13:18,2026-03-21T14:48,89.9,3.00,1.00,new_episode,76.1,40.2,13.30
64,2026-03-21T14:48,2026-03-21T15:28,40.2,1.00,3.00,same_episode,89.9,214.2,14.80
65,2026-03-21T15:28,2026-03-21T19:02,214.2,3.00,4.00,new_episode,40.2,213.7,15.47
66,2026-03-21T19:02,2026-03-21T22:36,213.7,4.00,4.30,new_episode,214.2,226.5,19.03
67,2026-03-21T22:36,2026-03-22T02:22,226.5,4.30,3.50,new_episode,213.7,187.8,22.60
68,2026-03-22T02:22,2026-03-22T05:30,187.8,3.50,4.50,new_episode,226.5,203.4,2.37
69,2026-03-22T05:30,2026-03-22T08:53,203.4,4.50,3.25,new_episode,187.8,181.1,5.50
70,2026-03-22T08:53,2026-03-22T11:54,181.1,3.25,3.50,new_episode,203.4,71.6,8.88
71,2026-03-22T11:54,2026-03-22T13:06,71.6,3.50,1.00,same_episode,181.1,209.8,11.90
72,2026-03-22T13:06,2026-03-22T16:36,209.8,1.00,4.00,new_episode,71.6,77.5,13.10
73,2026-03-22T16:36,2026-03-22T17:53,77.5,4.00,1.25,same_episode,209.8,94.4,16.60
74,2026-03-22T17:53,2026-03-22T19:28,94.4,1.25,4.50,new_episode,77.5,239.7,17.88
75,2026-03-22T19:28,2026-03-22T23:27,239.7,4.50,3.50,new_episode,94.4,182.3,19.47
76,2026-03-22T23:27,2026-03-23T02:30,182.3,3.50,3.70,new_episode,239.7,163.3,23.45
77,2026-03-23T02:30,2026-03-23T05:13,163.3,3.70,4.50,new_episode,182.3,214.9,2.50
78,2026-03-23T05:13,2026-03-23T08:48,214.9,4.50,4.00,new_episode,163.3,98.1,5.22
79,2026-03-23T08:48,2026-03-23T10:26,98.1,4.00,2.00,new_episode,214.9,74.8,8.80
80,2026-03-23T10:26,2026-03-23T11:41,74.8,2.00,2.00,new_episode,98.1,171.4,10.43
81,2026-03-23T11:41,2026-03-23T14:32,171.4,2.00,3.50,new_episode,74.8,187.8,11.68
82,2026-03-23T14:32,2026-03-23T17:40,187.8,3.50,4.75,new_episode,171.4,105.9,14.53
83,2026-03-23T17:40,2026-03-23T19:26,105.9,4.75,2.00,new_episode,187.8,72.1,17.67
84,2026-03-23T19:26,2026-03-23T20:38,72.1,2.00,2.60,same_episode,105.9,239.6,19.43
85,2026-03-23T20:38,2026-03-24T00:38,239.6,2.60,4.50,new_episode,72.1,186.6,20.63
86,2026-03-24T00:38,2026-03-24T03:44,186.6,4.50,3.50,new_episode,239.6,146.1,0.63
87,2026-03-24T03:44,2026-03-24T06:10,146.1,3.50,3.50,new_episode,186.6,235.2,3.73
88,2026-03-24T06:10,2026-03-24T10:05,235.2,3.50,3.50,new_episode,146.1,144.1,6.17
89,2026-03-24T10:05,2026-03-24T12:30,144.1,3.50,3.25,new_episode,235.2,135.0,10.08
90,2026-03-24T12:30,2026-03-24T14:45,135.0,3.25,3.00,new_episode,144.1,50.8,12.50
91,2026-03-24T14:45,2026-03-24T15:35,50.8,3.00,1.00,same_episode,135.0,147.0,14.75
92,2026-03-24T15:35,2026-03-24T18:02,147.0,1.00,4.00,new_episode,50.8,134.0,15.58
93,2026-03-24T18:02,2026-03-24T20:16,134.0,4.00,3.60,new_episode,147.0,69.1,18.03
94,2026-03-24T20:16,2026-03-24T21:25,69.1,3.60,1.00,same_episode,134.0,49.9,20.27
95,2026-03-24T21:25,2026-03-24T22:15,49.9,1.00,1.50,same_episode,69.1,138.8,21.42
96,2026-03-24T22:15,2026-03-25T00:34,138.8,1.50,4.50,new_episode,49.9,,22.25
